label,generation,hypervolume
u1_nsgaii_nodiv,34,4878250.1651
u1_nsgaii_nodiv,35,4965102.6213
u1_nsgaii_nodiv,36,4965435.0953
u1_nsgaii_nodiv,37,4990599.8593
u1_nsgaii_nodiv,38,5010257.6754
u1_nsgaii_nodiv,39,5015110.6564
u1_nsgaii_nodiv,40,4956035.3484
u1_nsgaii_nodiv,41,4964497.544
u1_nsgaii_nodiv,42,4969118.0163
u1_nsgaii_nodiv,43,4971454.3268
u1_nsgaii_nodiv,44,4971454.3268
u1_nsgaii_nodiv,45,5099524.0802
u1_nsgaii_nodiv,46,5134187.3376
u1_nsgaii_nodiv,47,5137829.7446
u1_nsgaii_nodiv,48,5147189.7292
u1_nsgaii_nodiv,49,5198886.0906
u1_nsgaii_nodiv,50,5212983.8961
u1_nsgaii_nodiv,51,5384997.6917
u1_nsgaii_nodiv,52,5388715.4517
u1_nsgaii_nodiv,53,5452196.2581
u1_nsgaii_nodiv,54,5455091.8581
u1_nsgaii_nodiv,55,5456588.1711
u1_nsgaii_nodiv,56,5392690.0986
u1_nsgaii_nodiv,57,5413894.4946
u1_nsgaii_nodiv,58,5414076.8846
u1_nsgaii_nodiv,59,5438988.7896
u1_nsgaii_nodiv,60,5518858.9725
u1_nsgaii_nodiv,61,5512163.8375
u1_nsgaii_nodiv,62,5512602.2995
u1_nsgaii_nodiv,63,5513103.6865
u1_nsgaii_nodiv,64,5523495.796
u1_nsgaii_nodiv,65,5535766.1345
u1_nsgaii_nodiv,66,5535766.1345
u1_nsgaii_nodiv,67,5535766.1345
u1_nsgaii_nodiv,68,5542043.0625
u1_nsgaii_nodiv,69,5542043.0625
u1_nsgaii_nodiv,70,5544975.8435
u1_nsgaii_nodiv,71,5569602.5685
u1_nsgaii_nodiv,72,5559558.0015
u1_nsgaii_nodiv,73,5559558.0015
u1_nsgaii_nodiv,74,5663316.8819
u1_nsgaii_nodiv,75,5668953.9259
u1_nsgaii_nodiv,76,5679593.3383
u1_nsgaii_nodiv,77,5681097.3413
u1_nsgaii_nodiv,78,5687391.9848
u1_nsgaii_nodiv,79,5686627.1848
u1_nsgaii_nodiv,80,5683372.5641
u1_nsgaii_nodiv,81,5684569.9641
u1_nsgaii_nodiv,82,5685850.0291
u1_nsgaii_nodiv,83,5698935.8387
u1_nsgaii_nodiv,84,5703098.1387
u1_nsgaii_nodiv,85,5707407.6627
u1_nsgaii_nodiv,86,5703265.4617
u1_nsgaii_nodiv,87,5703261.3817
u1_nsgaii_nodiv,88,5704518.3597
u1_nsgaii_nodiv,89,5704942.9597
u1_nsgaii_nodiv,90,5708411.7917
u1_nsgaii_nodiv,91,5715579.3092
u1_nsgaii_nodiv,92,5712749.2122
u1_nsgaii_nodiv,93,5716484.8642
u1_nsgaii_nodiv,94,5710179.5702
u1_nsgaii_nodiv,95,5710179.5702
u1_nsgaii_nodiv,96,5710449.7472
u1_nsgaii_nodiv,97,5710536.1402
u1_nsgaii_nodiv,98,5708353.0112
u1_nsgaii_nodiv,99,5706875.2992
u1_spea2_div,0,3537751.2029
u1_spea2_div,1,3762925.2404
u1_spea2_div,2,4074541.132
u1_spea2_div,3,4163176.3278
u1_spea2_div,4,4279233.509
u1_spea2_div,5,4092036.5521
u1_spea2_div,6,4127291.9533
u1_spea2_div,7,4219946.7741
u1_spea2_div,8,4290837.4098
