solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
36,67.8,28.06,213.0,0,3,10,13,1995.26,102.62,226.34,34.72,1807.79,29;161;285;94;76;6;264;286;398;227;194;297;109,INCİR REÇELİ | ERİK | MALTA ERİĞİ | YULAF GEVREĞİ | SİYAH ZEYTIN | BEYAZ PEYNIR | KİRAZ | MANDALİNA | ZEYTİNYAĞLI BROKOLİ | HİNDİ KIZARTMA | ETSİZ PİRİNÇLİ PIRASA | MEVSİM SALATASI LD | ARPA ŞEHRİYELİ AYRAN ÇORBASI
37,66.7,16.84,380.0,0,2,9,14,1988.17,43.7,308.93,29.35,1487.37,16;286;250;29;90;42;375;211;48;402;150;271;370;346,EKMEK | MANDALİNA | KAVUN | INCİR REÇELİ | YAZ HELVASI | KUŞBURNU MARMELATI | ÜZÜM | HAVUÇ ÇORBASI | MEVSİM SALATASI | ZEYTİNYAĞLI KEREVİZ | DOMATESLİ BİBERLİ ERİŞTE | KREMALI DOMATES  ÇORBASI | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI
38,66.1,28.87,195.0,1,5,10,12,2259.57,80.67,235.94,20.95,1858.35,18;6;367;86;252;29;91;12;78;256;394;218,ELMA SUYU | BEYAZ PEYNIR | TAM BUĞDAY EKMEK LD | ÜZÜM PEKMEZİ | KAYISI SUYU LD | INCİR REÇELİ | YER FISTIĞI EZMESİ | ÇİLEK REÇELİ | SOSİSLİ MİLFÖY BÖREĞİ | KIYMALI BİBER DOLMASI | YOĞURTLU PAZI | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA
39,65.7,25.89,200.0,0,4,10,13,2021.19,79.96,164.01,29.2,1760.97,362;2;44;22;160;113;3;76;6;78;324;69;169,ŞEFTALİ SUYU LD | ARMUT REÇELİ | LOR PEYNİRİ | GREYFURT SUYU | ELMA SUYU LD | AYVA | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | SOSİSLİ MİLFÖY BÖREĞİ | PİLİÇ KAVURMA | ROKA SALATASI | ETLİ TAZE FASULYE
40,65.5,15.97,280.0,0,4,6,9,2169.42,69.81,207.53,56.99,1429.02,6;87;161;79;286;24;237;168;378,BEYAZ PEYNIR | VİŞNE REÇELİ | ERİK | SÜT | MANDALİNA | HAVUÇ SALATASI | İMAMBAYILDI | ETLİ NOHUT | YAZ KURU FASULYESİ
41,65.0,30.48,170.0,0,4,9,16,2396.29,59.43,271.15,52.33,1465.7,89;42;113;81;286;3;367;21;12;29;92;161;44;76;247;400,YABAN MERSİNİ MARMELATI | KUŞBURNU MARMELATI | AYVA | ŞEFTALİ SUYU | MANDALİNA | AYVA REÇELİ | TAM BUĞDAY EKMEK LD | FINDIK EZMESİ | ÇİLEK REÇELİ | INCİR REÇELİ | YEŞİL ZEYTIN | ERİK | LOR PEYNİRİ | SİYAH ZEYTIN | KARNIYARIK | ZEYTİNYAĞLI KABAK DOLMASI
42,64.9,13.54,285.0,0,3,9,11,1977.17,62.96,261.11,31.18,1431.52,112;302;86;41;271;370;346;386;242;68;398,AYRAN | MUZ | ÜZÜM PEKMEZİ | KURU KAYISI | KREMALI DOMATES  ÇORBASI | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | YOĞURTLU ISPANAK | KABAK MÜCVER | POŞE YUMURTA | ZEYTİNYAĞLI BROKOLİ
43,64.9,24.46,250.0,1,5,9,13,2242.79,99.23,179.98,33.5,1831.72,330;362;42;44;22;12;86;3;76;6;257;259;292,PORTAKAL | ŞEFTALİ SUYU LD | KUŞBURNU MARMELATI | LOR PEYNİRİ | GREYFURT SUYU | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | KIYMALI ISPANAK | KIYMALI KAPUSKA | MANTARLI PİLİÇ KAVURMA
44,64.7,23.6,290.0,1,5,8,12,2067.55,65.98,261.8,36.17,1517.39,361;52;160;113;265;362;395;107;257;34;271;223,ŞEFTALİ | ÖRGÜ PEYNİRİ | ELMA SUYU LD | AYVA | KİVİ | ŞEFTALİ SUYU LD | YOĞURTLU SEMİZOTU | ARPA ŞEHRİYE ÇORBASI | KIYMALI ISPANAK | KARNABAHAR SALATASI | KREMALI DOMATES  ÇORBASI | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE
45,64.2,21.2,295.0,1,5,9,12,2015.55,63.78,253.4,27.37,1519.39,88;52;160;113;265;362;395;107;257;34;271;223,VİŞNE SUYU | ÖRGÜ PEYNİRİ | ELMA SUYU LD | AYVA | KİVİ | ŞEFTALİ SUYU LD | YOĞURTLU SEMİZOTU | ARPA ŞEHRİYE ÇORBASI | KIYMALI ISPANAK | KARNABAHAR SALATASI | KREMALI DOMATES  ÇORBASI | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE
