solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,180.7,34.57,472.0,0,2,11,23,2458.54,37.78,335.56,23.56,1981.76,86;36;35;2;213;160;362;88;331;82;12;7;92;24;215;56;294;216;245;249;401;353;234,ÜZÜM PEKMEZİ | KAYMAK | KAYISI SUYU | ARMUT REÇELİ | HAVUÇ SUYU LD | ELMA SUYU LD | ŞEFTALİ SUYU LD | VİŞNE SUYU | PORTAKAL SUYU LD | TAHİN PEKMEZ | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | YEŞİL ZEYTIN | HAVUÇ SALATASI | HAVUÇLU PİRİNÇ PİLAVI | PATATES SALATASI | MELEK PİLAVI | HAVUÇ-TURP SALATASI LD | KARIŞIK TURŞU | KAŞAR PEYNİRLİ MAKARNA | ZEYTİNYAĞLI KARNABAHAR | SEMİZOTU SALATASI LD | ISPANAKLI PATATES ÇORBASI
1,175.9,49.54,325.0,0,3,14,23,2363.07,38.77,340.04,32.07,1550.05,7;3;286;44;36;208;21;87;42;161;86;2;92;5;177;141;47;138;28;217;159;13;245,BÖĞÜRTLEN REÇELİ | AYVA REÇELİ | MANDALİNA | LOR PEYNİRİ | KAYMAK | GREYFURT SUYU LD | FINDIK EZMESİ | VİŞNE REÇELİ | KUŞBURNU MARMELATI | ERİK | ÜZÜM PEKMEZİ | ARMUT REÇELİ | YEŞİL ZEYTIN | BAL | ETSİZ BULGURLU KABAK YAHNİ | ÇOBAN SALATASI LD | MERCİMEK ÇORBASI | CEVİZLİ TEL KADAYIF | HİNDİ SALAMI | HAYDARİ | ELMA DİLİM PATATES KIZARTMASI | ÇOBAN SALATASI | KARIŞIK TURŞU
2,173.8,33.81,292.0,0,3,14,22,2348.11,61.97,343.81,26.59,1438.28,208;42;155;18;22;248;44;36;21;139;12;92;5;76;7;188;200;291;309;68;23;85,GREYFURT SUYU LD | KUŞBURNU MARMELATI | EKMEK LD | ELMA SUYU | GREYFURT SUYU | KARPUZ | LOR PEYNİRİ | KAYMAK | FINDIK EZMESİ | ÇİLEK | ÇİLEK REÇELİ | YEŞİL ZEYTIN | BAL | SİYAH ZEYTIN | BÖĞÜRTLEN REÇELİ | ETSİZ NOHUT | FINDIKLI İRMİK HELVASI | MANTARLI MAKARNA | PARMAK PATATES KIZARTMASI | POŞE YUMURTA | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA
3,164.2,33.32,352.0,0,3,10,20,2021.41,40.39,288.55,19.22,1475.16,86;36;35;2;213;160;362;88;331;82;12;7;92;215;141;328;245;43;383;46,ÜZÜM PEKMEZİ | KAYMAK | KAYISI SUYU | ARMUT REÇELİ | HAVUÇ SUYU LD | ELMA SUYU LD | ŞEFTALİ SUYU LD | VİŞNE SUYU | PORTAKAL SUYU LD | TAHİN PEKMEZ | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | YEŞİL ZEYTIN | HAVUÇLU PİRİNÇ PİLAVI | ÇOBAN SALATASI LD | PİRİNÇLİ HAVUÇ ÇORBASI | KARIŞIK TURŞU | KÜP PATATES KIZARTMASI B | YOĞURTLU BUĞDAY ÇORBASI | MENEMEN
4,163.7,37.59,237.0,0,4,11,21,2345.72,67.3,315.13,34.5,2087.75,36;208;21;87;42;80;86;2;12;367;44;5;82;76;91;242;243;131;275;246;199,KAYMAK | GREYFURT SUYU LD | FINDIK EZMESİ | VİŞNE REÇELİ | KUŞBURNU MARMELATI | ŞEFTALİ REÇELİ | ÜZÜM PEKMEZİ | ARMUT REÇELİ | ÇİLEK REÇELİ | TAM BUĞDAY EKMEK LD | LOR PEYNİRİ | BAL | TAHİN PEKMEZ | SİYAH ZEYTIN | YER FISTIĞI EZMESİ | KABAK MÜCVER | KABAK TARATOR | CACIK | KREMALI MANTARLI FESLEĞENLİ MAKARNA | KARNABAHAR SALATASI LD | FASULYE PİYAZI
5,158.4,29.81,287.0,0,4,11,20,2350.57,40.66,309.06,21.28,2216.59,7;3;286;44;36;208;42;80;362;82;12;92;76;126;312;236;317;24;216;200,BÖĞÜRTLEN REÇELİ | AYVA REÇELİ | MANDALİNA | LOR PEYNİRİ | KAYMAK | GREYFURT SUYU LD | KUŞBURNU MARMELATI | ŞEFTALİ REÇELİ | ŞEFTALİ SUYU LD | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | SİYAH ZEYTIN | BROKOLİ SALATASI LD | PATATES PÜRESİ | İÇ PİLAV | PEYNİRLİ AKDENİZ SALATASI LD | HAVUÇ SALATASI | HAVUÇ-TURP SALATASI LD | FINDIKLI İRMİK HELVASI
6,156.4,28.22,297.0,0,3,10,20,2210.82,36.39,308.18,20.39,2029.35,7;3;286;44;36;208;42;80;362;82;12;92;76;126;312;253;317;24;216;200,BÖĞÜRTLEN REÇELİ | AYVA REÇELİ | MANDALİNA | LOR PEYNİRİ | KAYMAK | GREYFURT SUYU LD | KUŞBURNU MARMELATI | ŞEFTALİ REÇELİ | ŞEFTALİ SUYU LD | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | SİYAH ZEYTIN | BROKOLİ SALATASI LD | PATATES PÜRESİ | KEMALPAŞA TATLISI | PEYNİRLİ AKDENİZ SALATASI LD | HAVUÇ SALATASI | HAVUÇ-TURP SALATASI LD | FINDIKLI İRMİK HELVASI
7,152.3,23.44,371.0,0,4,12,20,2346.41,43.68,334.0,30.09,1709.87,3;286;44;36;208;21;87;42;86;362;92;82;45;312;343;108;185;141;386;379,AYVA REÇELİ | MANDALİNA | LOR PEYNİRİ | KAYMAK | GREYFURT SUYU LD | FINDIK EZMESİ | VİŞNE REÇELİ | KUŞBURNU MARMELATI | ÜZÜM PEKMEZİ | ŞEFTALİ SUYU LD | YEŞİL ZEYTIN | TAHİN PEKMEZ | MAKARNA SALATASI | PATATES PÜRESİ | SEBZE GARNİTÜR (HAŞLANMIŞ) LD | ARPA ŞEHRİYE PİLAVI | ETSİZ KEREVİZ | ÇOBAN SALATASI LD | YOĞURTLU ISPANAK | YER FISTIKLI İRMİK HELVASI
8,150.9,27.5,287.0,0,4,12,18,2349.2,45.07,304.88,31.48,2186.55,330;286;44;36;208;367;18;82;12;3;92;126;312;236;317;24;216;200,PORTAKAL | MANDALİNA | LOR PEYNİRİ | KAYMAK | GREYFURT SUYU LD | TAM BUĞDAY EKMEK LD | ELMA SUYU | TAHİN PEKMEZ | ÇİLEK REÇELİ | AYVA REÇELİ | YEŞİL ZEYTIN | BROKOLİ SALATASI LD | PATATES PÜRESİ | İÇ PİLAV | PEYNİRLİ AKDENİZ SALATASI LD | HAVUÇ SALATASI | HAVUÇ-TURP SALATASI LD | FINDIKLI İRMİK HELVASI
9,149.3,41.69,237.0,1,5,13,21,2102.31,49.79,264.46,22.8,1563.71,36;208;21;87;42;80;86;2;12;367;44;5;82;76;91;20;274;95;254;34;295,KAYMAK | GREYFURT SUYU LD | FINDIK EZMESİ | VİŞNE REÇELİ | KUŞBURNU MARMELATI | ŞEFTALİ REÇELİ | ÜZÜM PEKMEZİ | ARMUT REÇELİ | ÇİLEK REÇELİ | TAM BUĞDAY EKMEK LD | LOR PEYNİRİ | BAL | TAHİN PEKMEZ | SİYAH ZEYTIN | YER FISTIĞI EZMESİ | EZOGELİN ÇORBASI | KREMALI MANTAR ÇORBASI | AKDENİZ SALATASI LD | KISIR | KARNABAHAR SALATASI | MENEMEN LD
