solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,205.7,61.91,509.0,0,2,16,27,2435.33,99.13,344.78,15.55,1603.2,35;376;12;82;3;44;76;36;7;367;89;251;42;21;92;86;5;91;136;333;54;201;68;336;23;284;28,KAYISI SUYU | VİŞNE SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | KUŞBURNU MARMELATI | FINDIK EZMESİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | BAL | YER FISTIĞI EZMESİ | CEVİZLİ SARAY SARMA | REVANİ | PARMAK PATATES KIZARTMASI B | FIRIN BALIK | POŞE YUMURTA | SALATALIK TURSUSU | HAŞLANMIŞ YUMURTA | MAKARNA-KUSKUS | HİNDİ SALAMI
1,201.3,42.19,272.0,0,4,14,25,2345.16,37.74,291.61,39.49,1626.73,35;376;12;82;3;44;76;36;7;367;89;251;42;21;92;86;5;91;28;191;174;54;216;309;141,KAYISI SUYU | VİŞNE SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | KUŞBURNU MARMELATI | FINDIK EZMESİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | BAL | YER FISTIĞI EZMESİ | HİNDİ SALAMI | ETSİZ PATLICAN MUSAKKA | ETSİZ BİBER DOLMASI | PARMAK PATATES KIZARTMASI B | HAVUÇ-TURP SALATASI LD | PARMAK PATATES KIZARTMASI | ÇOBAN SALATASI LD
2,190.8,37.22,382.0,0,4,15,24,2164.03,44.84,315.44,32.66,1731.69,18;376;160;12;82;3;86;44;76;36;7;367;89;251;92;5;91;24;152;214;353;234;253;189,ELMA SUYU | VİŞNE SUYU LD | ELMA SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | ÜZÜM PEKMEZİ | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | YEŞİL ZEYTIN | BAL | YER FISTIĞI EZMESİ | HAVUÇ SALATASI | DOMATESLİ MAKARNA | HAVUÇ TARATOR | SEMİZOTU SALATASI LD | ISPANAKLI PATATES ÇORBASI | KEMALPAŞA TATLISI | ETSİZ NOHUTLU BRÜKSEL LAHANASI
3,185.6,38.6,266.0,0,4,13,24,1943.92,46.52,282.71,37.94,1986.87,251;76;36;3;82;113;18;44;5;367;89;376;7;12;92;86;91;48;245;127;45;353;249;243,KAYISI | SİYAH ZEYTIN | KAYMAK | AYVA REÇELİ | TAHİN PEKMEZ | AYVA | ELMA SUYU | LOR PEYNİRİ | BAL | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | VİŞNE SUYU LD | BÖĞÜRTLEN REÇELİ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | YER FISTIĞI EZMESİ | MEVSİM SALATASI | KARIŞIK TURŞU | BUĞDAY RİSOTTO | MAKARNA SALATASI | SEMİZOTU SALATASI LD | KAŞAR PEYNİRLİ MAKARNA | KABAK TARATOR
4,180.1,37.34,347.0,0,4,10,23,1994.71,43.87,256.28,43.8,1595.19,139;21;160;12;82;3;86;92;44;76;36;7;367;89;251;42;91;198;159;141;374;402;401,ÇİLEK | FINDIK EZMESİ | ELMA SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | ÜZÜM PEKMEZİ | YEŞİL ZEYTIN | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | KUŞBURNU MARMELATI | YER FISTIĞI EZMESİ | FASULYE PİLAKİ | ELMA DİLİM PATATES KIZARTMASI | ÇOBAN SALATASI LD | TUTMAÇ ÇORBASI | ZEYTİNYAĞLI KEREVİZ | ZEYTİNYAĞLI KARNABAHAR
5,178.2,38.28,312.0,0,4,14,22,1987.88,51.81,290.8,42.77,1619.75,18;376;160;12;82;3;86;44;76;36;7;367;89;251;92;5;91;189;341;8;199;215,ELMA SUYU | VİŞNE SUYU LD | ELMA SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | ÜZÜM PEKMEZİ | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | YEŞİL ZEYTIN | BAL | YER FISTIĞI EZMESİ | ETSİZ NOHUTLU BRÜKSEL LAHANASI | SARAY ÇORBASI | BROKOLİ SALATASI | FASULYE PİYAZI | HAVUÇLU PİRİNÇ PİLAVI
6,177.0,35.84,262.0,0,4,11,22,2304.81,59.1,292.64,30.34,1409.09,139;21;160;12;82;3;86;92;44;76;36;7;367;89;251;42;91;353;17;181;4;360,ÇİLEK | FINDIK EZMESİ | ELMA SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | ÜZÜM PEKMEZİ | YEŞİL ZEYTIN | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | KUŞBURNU MARMELATI | YER FISTIĞI EZMESİ | SEMİZOTU SALATASI LD | ELMA DİLİM PATATES KIZARTMASI B | ETSİZ HAVUÇLU YEŞİL MERCİMEK | BAHARATLI ELMA DİLİM PATATES KIZARTMASI B | ŞAKŞUKA
7,176.0,46.49,197.0,0,4,13,22,2340.0,42.71,273.48,38.48,1360.3,18;376;160;12;82;3;86;44;76;36;7;367;89;251;92;5;91;191;46;13;1;117,ELMA SUYU | VİŞNE SUYU LD | ELMA SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | ÜZÜM PEKMEZİ | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KAYISI | YEŞİL ZEYTIN | BAL | YER FISTIĞI EZMESİ | ETSİZ PATLICAN MUSAKKA | MENEMEN | ÇOBAN SALATASI | AKDENİZ SALATASI | BAHARATLI ELMA DİLİM PATATES KIZARTMASI
8,175.8,28.93,367.0,0,4,12,21,2526.18,43.62,281.71,47.2,2100.23,21;376;12;82;3;44;76;36;7;367;89;42;16;28;191;174;54;216;309;141;178,FINDIK EZMESİ | VİŞNE SUYU LD | ÇİLEK REÇELİ | TAHİN PEKMEZ | AYVA REÇELİ | LOR PEYNİRİ | SİYAH ZEYTIN | KAYMAK | BÖĞÜRTLEN REÇELİ | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | KUŞBURNU MARMELATI | EKMEK | HİNDİ SALAMI | ETSİZ PATLICAN MUSAKKA | ETSİZ BİBER DOLMASI | PARMAK PATATES KIZARTMASI B | HAVUÇ-TURP SALATASI LD | PARMAK PATATES KIZARTMASI | ÇOBAN SALATASI LD | ETSİZ BULGURLU LAHANA
9,175.6,31.69,306.0,0,3,13,21,2180.08,38.0,312.33,46.87,1605.28,36;3;82;113;18;44;5;367;89;376;42;7;12;86;21;24;177;190;123;283;28,KAYMAK | AYVA REÇELİ | TAHİN PEKMEZ | AYVA | ELMA SUYU | LOR PEYNİRİ | BAL | TAM BUĞDAY EKMEK LD | YABAN MERSİNİ MARMELATI | VİŞNE SUYU LD | KUŞBURNU MARMELATI | BÖĞÜRTLEN REÇELİ | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | HAVUÇ SALATASI | ETSİZ BULGURLU KABAK YAHNİ | ETSİZ PATATES OTURTMASI | BARBUNYA PİLAKİ | MAKARNA SALATASI LD | HİNDİ SALAMI
