solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
67,34.2,7.21,240.0,0,4,5,5,1959.16,58.15,240.06,44.8,1521.8,41;73;386;259;190,KURU KAYISI | SEBZELİ YUFKA BÖREĞİ | YOĞURTLU ISPANAK | KIYMALI KAPUSKA | ETSİZ PATATES OTURTMASI
68,33.7,22.6,65.0,1,5,7,10,2025.55,89.54,175.12,21.63,1824.02,158;264;52;44;367;84;75;322;77;13,ELMA | KİRAZ | ÖRGÜ PEYNİRİ | LOR PEYNİRİ | TAM BUĞDAY EKMEK LD | TAM BUĞDAY EKMEK | SİMİT | PİLİÇ IZGARA | SOSİS | ÇOBAN SALATASI
69,33.4,7.61,310.0,1,5,6,6,2065.19,54.57,239.47,28.61,1553.73,93;73;242;402;200;240,YOĞURT B | SEBZELİ YUFKA BÖREĞİ | KABAK MÜCVER | ZEYTİNYAĞLI KEREVİZ | FINDIKLI İRMİK HELVASI | KABAK BAYILDI
70,33.4,8.39,462.0,0,4,7,9,2239.31,39.33,207.58,26.99,1724.13,32;86;92;82;312;402;200;240;123,ISPANAKLI MİLFÖY BÖREĞİ | ÜZÜM PEKMEZİ | YEŞİL ZEYTIN | TAHİN PEKMEZ | PATATES PÜRESİ | ZEYTİNYAĞLI KEREVİZ | FINDIKLI İRMİK HELVASI | KABAK BAYILDI | BARBUNYA PİLAKİ
71,32.7,7.57,290.0,0,4,6,6,2077.23,74.52,266.41,21.47,1484.29,60;129;185;77;181;200,PATATESLİ YUFKA BÖREĞİ | BULGUR PİLAVI | ETSİZ KEREVİZ | SOSİS | ETSİZ HAVUÇLU YEŞİL MERCİMEK | FINDIKLI İRMİK HELVASI
72,32.5,12.27,175.0,0,4,6,6,1999.41,79.08,248.05,23.9,1582.91,84;7;302;39;151;210,TAM BUĞDAY EKMEK | BÖĞÜRTLEN REÇELİ | MUZ | KREP | DOMATESLİ ERİŞTE | HASANPAŞA KÖFTE
73,31.7,9.21,273.0,0,4,7,8,2093.05,45.37,267.83,25.07,1472.38,286;79;11;395;190;369;358;163,MANDALİNA | SÜT | ÇİKOLATALI YULAF GEVREĞİ | YOĞURTLU SEMİZOTU | ETSİZ PATATES OTURTMASI | TEL ŞEHRİYE ÇORBASI | SÜTLAÇ | ERZİNCAN ÇORBASI LD
74,31.6,12.42,165.0,0,4,7,7,1995.07,67.45,224.81,48.72,1530.38,50;82;367;41;24;247;194,MEYVELİ YULAF GEVREĞİ | TAHİN PEKMEZ | TAM BUĞDAY EKMEK LD | KURU KAYISI | HAVUÇ SALATASI | KARNIYARIK | ETSİZ PİRİNÇLİ PIRASA
75,30.5,11.67,205.0,1,5,8,8,2150.46,71.3,263.02,38.52,2012.64,367;41;75;9;237;109;131;188,TAM BUĞDAY EKMEK LD | KURU KAYISI | SİMİT | ÇEÇİL PEYNİRİ | İMAMBAYILDI | ARPA ŞEHRİYELİ AYRAN ÇORBASI | CACIK | ETSİZ NOHUT
76,30.0,6.29,440.0,0,4,5,6,1999.79,48.06,239.43,38.01,1507.44,60;312;402;200;240;123,PATATESLİ YUFKA BÖREĞİ | PATATES PÜRESİ | ZEYTİNYAĞLI KEREVİZ | FINDIKLI İRMİK HELVASI | KABAK BAYILDI | BARBUNYA PİLAKİ
77,27.7,7.28,330.0,1,5,6,6,2180.99,64.81,292.73,47.52,1540.27,41;73;360;188;291;197,KURU KAYISI | SEBZELİ YUFKA BÖREĞİ | ŞAKŞUKA | ETSİZ NOHUT | MANTARLI MAKARNA | EZOGELİN ÇORBASI LD
78,25.1,8.08,220.0,0,4,6,6,2247.8,66.78,307.32,29.61,1522.68,41;73;300;115;314;243,KURU KAYISI | SEBZELİ YUFKA BÖREĞİ | MISIRLI AYRAN ÇORBASI | BADEMLİ MUHALLEBİ | PATATES SOTE | KABAK TARATOR
79,23.7,10.19,165.0,1,5,7,7,2046.38,64.05,212.76,39.71,2189.47,286;79;11;62;23;360;188,MANDALİNA | SÜT | ÇİKOLATALI YULAF GEVREĞİ | PEYNİRLİ AKDENİZ SALATASI | HAŞLANMIŞ YUMURTA | ŞAKŞUKA | ETSİZ NOHUT
80,19.7,8.08,220.0,1,5,6,6,2184.55,75.61,262.87,22.61,1602.68,93;73;300;115;314;243,YOĞURT B | SEBZELİ YUFKA BÖREĞİ | MISIRLI AYRAN ÇORBASI | BADEMLİ MUHALLEBİ | PATATES SOTE | KABAK TARATOR
81,17.9,19.4,53.0,0,4,7,7,2096.31,68.65,327.66,25.27,1520.98,61;208;50;92;375;114;324,PERMESAN PEYNİRİ | GREYFURT SUYU LD | MEYVELİ YULAF GEVREĞİ | YEŞİL ZEYTIN | ÜZÜM | AYVA TATLISI | PİLİÇ KAVURMA
82,16.4,8.58,278.0,1,5,7,8,2296.16,53.91,277.68,35.62,1640.89,367;84;44;11;266;360;180;359,TAM BUĞDAY EKMEK LD | TAM BUĞDAY EKMEK | LOR PEYNİRİ | ÇİKOLATALI YULAF GEVREĞİ | KORNİŞON TURŞU | ŞAKŞUKA | ETSİZ GÜVEÇ | SÜTLÜ İRMİK TATLISI
83,14.4,9.63,116.0,1,5,3,4,2063.59,88.6,206.9,29.14,1501.96,50;11;110;322,MEYVELİ YULAF GEVREĞİ | ÇİKOLATALI YULAF GEVREĞİ | ARRABİATA SOSLU MAKARNA | PİLİÇ IZGARA
84,13.3,11.36,145.0,0,4,7,7,2171.38,45.52,340.49,21.1,1852.08,250;11;36;62;23;135;132,KAVUN | ÇİKOLATALI YULAF GEVREĞİ | KAYMAK | PEYNİRLİ AKDENİZ SALATASI | HAŞLANMIŞ YUMURTA | CEVİZLİ KABAK TATLISI | CACIK LD
